trip_id,arrival_time,departure_time,stop_sequence,stop_id
036A_1,10:29:23,10:29:23,13,S53
036A_1,10:38:23,10:38:23,14,T54
036B_1,10:42:01,10:42:01,1,T54
036B_1,12:55:28,12:55:28,2,S57
036B_1,13:02:45,13:02:45,3,S58
036B_1,13:12:26,13:12:26,4,S33
036B_1,13:16:04,13:16:04,5,S60
036B_1,13:16:51,13:16:51,6,S34
036B_1,13:20:32,13:20:32,7,S62
036B_1,13:23:35,13:23:35,8,S63
036B_1,13:25:42,13:25:42,9,T0
038A_1,9:15:39,9:15:39,1,T0
038A_1,9:24:53,9:24:53,2,S5188
038A_1,9:27:04,9:27:04,3,S5189
038A_1,9:33:28,9:33:28,4,S5190
038A_1,9:35:04,9:35:04,5,S5192
038A_1,9:38:35,9:38:35,6,S5194
038A_1,9:41:39,9:41:39,7,S415
038A_1,9:44:08,9:44:08,8,S417
038A_1,9:47:00,9:47:00,9,S630
038B_1,9:51:49,9:51:49,1,T3846
038B_1,10:03:11,10:03:11,2,S422
038B_1,10:05:01,10:05:01,3,S5202
038B_1,10:09:12,10:09:12,4,S5203
038B_1,10:15:37,10:15:37,5,S5204
038B_1,10:23:02,10:23:02,6,S5205
038B_1,10:24:09,10:24:09,7,S5206
038B_1,10:29:48,10:29:48,8,T0
039A_1,13:35:04,13:35:04,1,T1994
039A_1,13:35:16,13:35:16,2,S5210
039A_1,13:43:33,13:43:33,3,S5211
039A_1,13:44:44,13:44:44,4,S5213
039A_1,13:46:18,13:46:18,5,S3061
039A_1,13:50:42,13:50:42,6,T5215
039B_1,14:04:56,14:04:56,1,T5215
039B_1,14:07:41,14:07:41,2,S5218
039B_1,14:08:45,14:08:45,3,S5219
039B_1,14:09:55,14:09:55,4,S5220
039B_1,14:23:29,14:23:29,5,S880
039B_1,14:26:56,14:26:56,6,S5222
039B_1,14:31:26,14:31:26,7,T0
040A_1,10:40:49,10:40:49,1,T0
040A_1,11:05:44,11:05:44,2,S676
040A_1,11:31:57,11:31:57,3,T679
040B_1,11:34:27,11:34:27,1,T680
040B_1,13:15:13,13:15:13,2,S684
040B_1,13:18:16,13:18:16,3,S5231
040B_1,13:19:52,13:19:52,4,T0
041A_1,11:13:51,11:13:51,1,T0
041A_1,11:28:23,11:28:23,2,S5811
041A_1,11:30:10,11:30:10,3,S5812
041A_1,11:30:52,11:30:52,4,S5813
041A_1,11:36:02,11:36:02,5,S365
041A_1,11:37:46,11:37:46,6,S5815
041A_1,11:38:04,11:38:04,7,S5435
041A_1,11:39:45,11:39:45,8,S5817
041A_1,11:40:40,11:40:40,9,S5818
041A_1,11:42:39,11:42:39,10,S5820
041A_1,11:43:43,11:43:43,11,S5821
041A_1,11:45:27,11:45:27,12,T370
041B_1,11:48:12,11:48:12,1,T370
041B_1,11:48:41,11:48:41,2,S5825
041B_1,11:50:06,11:50:06,3,S369
041B_1,11:51:47,11:51:47,4,S5828
041B_1,11:53:02,11:53:02,5,S5829
041B_1,11:54:57,11:54:57,6,S378
041B_1,11:56:22,11:56:22,7,S380
041B_1,11:58:11,11:58:11,8,S620
041B_1,12:07:45,12:07:45,9,S5834
041B_1,12:09:53,12:09:53,10,S5357
041B_1,12:16:37,12:16:37,11,T0
043A_1,6:20:43,6:20:43,1,T0
043A_1,7:04:11,7:04:11,2,S67
043A_1,7:07:40,7:07:40,3,S68
043A_1,7:09:21,7:09:21,4,S69
043A_1,7:11:09,7:11:09,5,S70
043A_1,7:15:49,7:15:49,6,S71
043A_1,7:17:35,7:17:35,7,S72
043A_1,7:18:54,7:18:54,8,S73
043A_1,7:19:54,7:19:54,9,S74
043A_1,7:27:13,7:27:13,10,T75
043B_1,7:28:01,7:28:01,1,T75
043B_1,7:42:26,7:42:26,2,S78
043B_1,7:43:32,7:43:32,3,S79
043B_1,7:46:49,7:46:49,4,S80
043B_1,7:51:50,7:51:50,5,S81
043B_1,7:53:14,7:53:14,6,S82
043B_1,7:54:45,7:54:45,7,S33
043B_1,7:55:44,7:55:44,8,S60
043B_1,7:57:45,7:57:45,9,S62
043B_1,8:00:38,8:00:38,10,T0
044A_1,11:31:22,11:31:22,1,T0
044A_1,11:34:24,11:34:24,2,S3725
044A_1,11:35:22,11:35:22,3,S5840
044A_1,11:37:31,11:37:31,4,S5328
044A_1,11:39:15,11:39:15,5,S5842
044A_1,11:39:49,11:39:49,6,S5843
044A_1,11:41:57,11:41:57,7,S5844
044A_1,11:44:22,11:44:22,8,S5845
044A_1,11:47:04,11:47:04,9,S5847
044A_1,11:49:43,11:49:43,10,S3284
044A_1,11:50:48,11:50:48,11,S3284
044A_1,12:00:19,12:00:19,12,S5850
044A_1,12:03:46,12:03:46,13,T5241
044B_1,12:08:11,12:08:11,1,T5241
044B_1,12:14:06,12:14:06,2,S5854
044B_1,12:18:09,12:18:09,3,S3288
044B_1,12:22:46,12:22:46,4,S5246
044B_1,12:24:48,12:24:48,5,S5246
